Date,Country,Strategic_Tactic,Arrivals
2011-01-01,Australia,Traditional Leisure,3588
2011-02-01,Australia,Traditional Leisure,2223
2011-03-01,Australia,Traditional Leisure,3017
2011-04-01,Australia,Traditional Leisure,3341
2011-05-01,Australia,Traditional Leisure,1764
2011-06-01,Australia,Traditional Leisure,2727
2011-07-01,Australia,Traditional Leisure,3487
2011-08-01,Australia,Traditional Leisure,3318
2011-09-01,Australia,Traditional Leisure,3203
2011-10-01,Australia,Traditional Leisure,2575
2011-11-01,Australia,Traditional Leisure,3523
2011-12-01,Australia,Traditional Leisure,8962
2012-01-01,Australia,Traditional Leisure,3855
2012-02-01,Australia,Traditional Leisure,2908
2012-03-01,Australia,Traditional Leisure,3047
2012-04-01,Australia,Traditional Leisure,3554
2012-05-01,Australia,Traditional Leisure,2385
2012-06-01,Australia,Traditional Leisure,3596
2012-07-01,Australia,Traditional Leisure,4500
2012-08-01,Australia,Traditional Leisure,3751
2012-09-01,Australia,Traditional Leisure,4446
2012-10-01,Australia,Traditional Leisure,3609
2012-11-01,Australia,Traditional Leisure,5976
2012-12-01,Australia,Traditional Leisure,9987
2013-01-01,Australia,Traditional Leisure,4860
2013-02-01,Australia,Traditional Leisure,3029
2013-03-01,Australia,Traditional Leisure,4209
2013-04-01,Australia,Traditional Leisure,3731
2013-05-01,Australia,Traditional Leisure,2665
2013-06-01,Australia,Traditional Leisure,4064
2013-07-01,Australia,Traditional Leisure,4724
2013-08-01,Australia,Traditional Leisure,4454
2013-09-01,Australia,Traditional Leisure,4404
2013-10-01,Australia,Traditional Leisure,3312
2013-11-01,Australia,Traditional Leisure,4012
2013-12-01,Australia,Traditional Leisure,10788
2014-01-01,Australia,Traditional Leisure,5535
2014-02-01,Australia,Traditional Leisure,3368
2014-03-01,Australia,Traditional Leisure,3564
2014-04-01,Australia,Traditional Leisure,5232
2014-05-01,Australia,Traditional Leisure,2840
2014-06-01,Australia,Traditional Leisure,4430
2014-07-01,Australia,Traditional Leisure,5124
2014-08-01,Australia,Traditional Leisure,4371
2014-09-01,Australia,Traditional Leisure,4421
2014-10-01,Australia,Traditional Leisure,3794
2014-11-01,Australia,Traditional Leisure,4423
2014-12-01,Australia,Traditional Leisure,10838
2015-01-01,Australia,Traditional Leisure,5930
2015-02-01,Australia,Traditional Leisure,3472
2015-03-01,Australia,Traditional Leisure,4466
2015-04-01,Australia,Traditional Leisure,4717
2015-05-01,Australia,Traditional Leisure,3397
2015-06-01,Australia,Traditional Leisure,5152
2015-07-01,Australia,Traditional Leisure,5122
2015-08-01,Australia,Traditional Leisure,5268
2015-09-01,Australia,Traditional Leisure,5367
2015-10-01,Australia,Traditional Leisure,3768
2015-11-01,Australia,Traditional Leisure,4641
2015-12-01,Australia,Traditional Leisure,12254
2016-01-01,Australia,Traditional Leisure,7084
2016-02-01,Australia,Traditional Leisure,4421
2016-03-01,Australia,Traditional Leisure,6158
2016-04-01,Australia,Traditional Leisure,4699
2016-05-01,Australia,Traditional Leisure,3446
2016-06-01,Australia,Traditional Leisure,5760
2016-07-01,Australia,Traditional Leisure,7089
2016-08-01,Australia,Traditional Leisure,6235
2016-09-01,Australia,Traditional Leisure,5997
2016-10-01,Australia,Traditional Leisure,4103
2016-11-01,Australia,Traditional Leisure,5481
2016-12-01,Australia,Traditional Leisure,14023
2017-01-01,Australia,Traditional Leisure,8116
2017-02-01,Australia,Traditional Leisure,4482
2017-03-01,Australia,Traditional Leisure,5575
2017-04-01,Australia,Traditional Leisure,6756
2017-05-01,Australia,Traditional Leisure,3805
2017-06-01,Australia,Traditional Leisure,6360
2017-07-01,Australia,Traditional Leisure,6883
2017-08-01,Australia,Traditional Leisure,5959
2017-09-01,Australia,Traditional Leisure,6310
2017-10-01,Australia,Traditional Leisure,5198
2017-11-01,Australia,Traditional Leisure,6779
2017-12-01,Australia,Traditional Leisure,15058
2018-01-01,Australia,Traditional Leisure,9452
2018-02-01,Australia,Traditional Leisure,5693
2018-03-01,Australia,Traditional Leisure,8932
2018-04-01,Australia,Traditional Leisure,14023
2018-05-01,Australia,Traditional Leisure,4873
2018-06-01,Australia,Traditional Leisure,9997
2018-07-01,Australia,Traditional Leisure,8801
2018-08-01,Australia,Traditional Leisure,8239
2018-09-01,Australia,Traditional Leisure,8746
2018-10-01,Australia,Traditional Leisure,6912
2018-11-01,Australia,Traditional Leisure,10299
2018-12-01,Australia,Traditional Leisure,14961
2019-01-01,Australia,Traditional Leisure,10368
2019-02-01,Australia,Traditional Leisure,8810
2019-03-01,Australia,Traditional Leisure,11441
2019-04-01,Australia,Traditional Leisure,9565
2019-05-01,Australia,Traditional Leisure,2485
2019-06-01,Australia,Traditional Leisure,4410
2019-07-01,Australia,Traditional Leisure,5619
2019-08-01,Australia,Traditional Leisure,5985
2019-09-01,Australia,Traditional Leisure,6895
2019-10-01,Australia,Traditional Leisure,5562
2019-11-01,Australia,Traditional Leisure,7067
2019-12-01,Australia,Traditional Leisure,14467
2020-01-01,Australia,Traditional Leisure,8115
2020-02-01,Australia,Traditional Leisure,9578
2020-03-01,Australia,Traditional Leisure,2590
2020-04-01,Australia,Traditional Leisure,0
2020-05-01,Australia,Traditional Leisure,0
2020-06-01,Australia,Traditional Leisure,0
2020-07-01,Australia,Traditional Leisure,0
2020-08-01,Australia,Traditional Leisure,0
2020-09-01,Australia,Traditional Leisure,0
2020-10-01,Australia,Traditional Leisure,0
2020-11-01,Australia,Traditional Leisure,0
2020-12-01,Australia,Traditional Leisure,0
2021-01-01,Australia,Traditional Leisure,3
2021-02-01,Australia,Traditional Leisure,24
2021-03-01,Australia,Traditional Leisure,29
2021-04-01,Australia,Traditional Leisure,60
2021-05-01,Australia,Traditional Leisure,34
2021-06-01,Australia,Traditional Leisure,13
2021-07-01,Australia,Traditional Leisure,15
2021-08-01,Australia,Traditional Leisure,26
2021-09-01,Australia,Traditional Leisure,27
2021-10-01,Australia,Traditional Leisure,121
2021-11-01,Australia,Traditional Leisure,940
2021-12-01,Australia,Traditional Leisure,3129
2022-01-01,Australia,Traditional Leisure,2814
2022-02-01,Australia,Traditional Leisure,1688
2022-03-01,Australia,Traditional Leisure,2359
2022-04-01,Australia,Traditional Leisure,3508
2022-05-01,Australia,Traditional Leisure,1660
2022-06-01,Australia,Traditional Leisure,2511
2022-07-01,Australia,Traditional Leisure,1974
2022-08-01,Australia,Traditional Leisure,1898
2022-09-01,Australia,Traditional Leisure,2309
2022-10-01,Australia,Traditional Leisure,2106
2022-11-01,Australia,Traditional Leisure,2939
2022-12-01,Australia,Traditional Leisure,5158
2023-01-01,Australia,Traditional Leisure,3668
2023-02-01,Australia,Traditional Leisure,3113
2023-03-01,Australia,Traditional Leisure,4725
2023-04-01,Australia,Traditional Leisure,4996
2023-05-01,Australia,Traditional Leisure,4201
2023-06-01,Australia,Traditional Leisure,6195
2023-07-01,Australia,Traditional Leisure,5323
2023-08-01,Australia,Traditional Leisure,5522
2023-09-01,Australia,Traditional Leisure,5969
2023-10-01,Australia,Traditional Leisure,4977
2023-11-01,Australia,Traditional Leisure,7900
2023-12-01,Australia,Traditional Leisure,10847
2024-01-01,Australia,Traditional Leisure,6645
2024-02-01,Australia,Traditional Leisure,6265
2024-03-01,Australia,Traditional Leisure,8852
2024-04-01,Australia,Traditional Leisure,7202
2024-05-01,Australia,Traditional Leisure,5465
2024-06-01,Australia,Traditional Leisure,6317
2024-07-01,Australia,Traditional Leisure,7371
2024-08-01,Australia,Traditional Leisure,6687
2024-09-01,Australia,Traditional Leisure,7200
2024-10-01,Australia,Traditional Leisure,6523
2024-11-01,Australia,Traditional Leisure,7937
2024-12-01,Australia,Traditional Leisure,13109
2025-01-01,Australia,Traditional Leisure,9563
2025-02-01,Australia,Traditional Leisure,8778
2025-03-01,Australia,Traditional Leisure,9012
2025-04-01,Australia,Traditional Leisure,10744
2025-05-01,Australia,Traditional Leisure,5929
2025-06-01,Australia,Traditional Leisure,7299
2025-07-01,Australia,Traditional Leisure,9117
2025-08-01,Australia,Traditional Leisure,7833
2025-09-01,Australia,Traditional Leisure,9105
2025-10-01,Australia,Traditional Leisure,7903
2025-11-01,Australia,Traditional Leisure,9384
2025-12-01,Australia,Traditional Leisure,14820
2011-01-01,Austria,Traditional Leisure,838
2011-02-01,Austria,Traditional Leisure,909
2011-03-01,Austria,Traditional Leisure,768
2011-04-01,Austria,Traditional Leisure,438
2011-05-01,Austria,Traditional Leisure,163
2011-06-01,Austria,Traditional Leisure,131
2011-07-01,Austria,Traditional Leisure,564
2011-08-01,Austria,Traditional Leisure,394
2011-09-01,Austria,Traditional Leisure,314
2011-10-01,Austria,Traditional Leisure,395
2011-11-01,Austria,Traditional Leisure,538
2011-12-01,Austria,Traditional Leisure,810
2012-01-01,Austria,Traditional Leisure,1049
2012-02-01,Austria,Traditional Leisure,1359
2012-03-01,Austria,Traditional Leisure,1259
2012-04-01,Austria,Traditional Leisure,521
2012-05-01,Austria,Traditional Leisure,168
2012-06-01,Austria,Traditional Leisure,132
2012-07-01,Austria,Traditional Leisure,667
2012-08-01,Austria,Traditional Leisure,398
2012-09-01,Austria,Traditional Leisure,240
2012-10-01,Austria,Traditional Leisure,398
2012-11-01,Austria,Traditional Leisure,877
2012-12-01,Austria,Traditional Leisure,923
2013-01-01,Austria,Traditional Leisure,1640
2013-02-01,Austria,Traditional Leisure,1890
2013-03-01,Austria,Traditional Leisure,1197
2013-04-01,Austria,Traditional Leisure,632
2013-05-01,Austria,Traditional Leisure,314
2013-06-01,Austria,Traditional Leisure,258
2013-07-01,Austria,Traditional Leisure,899
2013-08-01,Austria,Traditional Leisure,830
2013-09-01,Austria,Traditional Leisure,482
2013-10-01,Austria,Traditional Leisure,579
2013-11-01,Austria,Traditional Leisure,989
2013-12-01,Austria,Traditional Leisure,1590
2014-01-01,Austria,Traditional Leisure,1652
2014-02-01,Austria,Traditional Leisure,2086
2014-03-01,Austria,Traditional Leisure,1482
2014-04-01,Austria,Traditional Leisure,893
2014-05-01,Austria,Traditional Leisure,395
2014-06-01,Austria,Traditional Leisure,348
2014-07-01,Austria,Traditional Leisure,1034
2014-08-01,Austria,Traditional Leisure,758
2014-09-01,Austria,Traditional Leisure,570
2014-10-01,Austria,Traditional Leisure,605
2014-11-01,Austria,Traditional Leisure,1018
2014-12-01,Austria,Traditional Leisure,1823
2015-01-01,Austria,Traditional Leisure,1834
2015-02-01,Austria,Traditional Leisure,2278
2015-03-01,Austria,Traditional Leisure,1580
2015-04-01,Austria,Traditional Leisure,666
2015-05-01,Austria,Traditional Leisure,469
2015-06-01,Austria,Traditional Leisure,362
2015-07-01,Austria,Traditional Leisure,1208
2015-08-01,Austria,Traditional Leisure,1041
2015-09-01,Austria,Traditional Leisure,605
2015-10-01,Austria,Traditional Leisure,770
2015-11-01,Austria,Traditional Leisure,1295
2015-12-01,Austria,Traditional Leisure,2145
2016-01-01,Austria,Traditional Leisure,2463
2016-02-01,Austria,Traditional Leisure,2917
2016-03-01,Austria,Traditional Leisure,1949
2016-04-01,Austria,Traditional Leisure,774
2016-05-01,Austria,Traditional Leisure,596
2016-06-01,Austria,Traditional Leisure,395
2016-07-01,Austria,Traditional Leisure,1456
2016-08-01,Austria,Traditional Leisure,1232
2016-09-01,Austria,Traditional Leisure,649
2016-10-01,Austria,Traditional Leisure,1063
2016-11-01,Austria,Traditional Leisure,1422
2016-12-01,Austria,Traditional Leisure,2079
2017-01-01,Austria,Traditional Leisure,2524
2017-02-01,Austria,Traditional Leisure,2963
2017-03-01,Austria,Traditional Leisure,2113
2017-04-01,Austria,Traditional Leisure,1250
2017-05-01,Austria,Traditional Leisure,580
2017-06-01,Austria,Traditional Leisure,365
2017-07-01,Austria,Traditional Leisure,1414
2017-08-01,Austria,Traditional Leisure,970
2017-09-01,Austria,Traditional Leisure,658
2017-10-01,Austria,Traditional Leisure,1069
2017-11-01,Austria,Traditional Leisure,1302
2017-12-01,Austria,Traditional Leisure,2258
2018-01-01,Austria,Traditional Leisure,2833
2018-02-01,Austria,Traditional Leisure,3156
2018-03-01,Austria,Traditional Leisure,2573
2018-04-01,Austria,Traditional Leisure,1103
2018-05-01,Austria,Traditional Leisure,637
2018-06-01,Austria,Traditional Leisure,543
2018-07-01,Austria,Traditional Leisure,1642
2018-08-01,Austria,Traditional Leisure,1216
2018-09-01,Austria,Traditional Leisure,875
2018-10-01,Austria,Traditional Leisure,1036
2018-11-01,Austria,Traditional Leisure,1692
2018-12-01,Austria,Traditional Leisure,2014
2019-01-01,Austria,Traditional Leisure,2288
2019-02-01,Austria,Traditional Leisure,2709
2019-03-01,Austria,Traditional Leisure,1932
2019-04-01,Austria,Traditional Leisure,1656
2019-05-01,Austria,Traditional Leisure,144
2019-06-01,Austria,Traditional Leisure,251
2019-07-01,Austria,Traditional Leisure,848
2019-08-01,Austria,Traditional Leisure,667
2019-09-01,Austria,Traditional Leisure,502
2019-10-01,Austria,Traditional Leisure,543
2019-11-01,Austria,Traditional Leisure,1349
2019-12-01,Austria,Traditional Leisure,1824
2020-01-01,Austria,Traditional Leisure,1674
2020-02-01,Austria,Traditional Leisure,2024
2020-03-01,Austria,Traditional Leisure,602
2020-04-01,Austria,Traditional Leisure,0
2020-05-01,Austria,Traditional Leisure,0
2020-06-01,Austria,Traditional Leisure,0
2020-07-01,Austria,Traditional Leisure,0
2020-08-01,Austria,Traditional Leisure,0
2020-09-01,Austria,Traditional Leisure,0
2020-10-01,Austria,Traditional Leisure,0
2020-11-01,Austria,Traditional Leisure,0
2020-12-01,Austria,Traditional Leisure,0
2021-01-01,Austria,Traditional Leisure,5
2021-02-01,Austria,Traditional Leisure,19
2021-03-01,Austria,Traditional Leisure,38
2021-04-01,Austria,Traditional Leisure,32
2021-05-01,Austria,Traditional Leisure,9
2021-06-01,Austria,Traditional Leisure,8
2021-07-01,Austria,Traditional Leisure,47
2021-08-01,Austria,Traditional Leisure,55
2021-09-01,Austria,Traditional Leisure,44
2021-10-01,Austria,Traditional Leisure,151
2021-11-01,Austria,Traditional Leisure,267
2021-12-01,Austria,Traditional Leisure,827
2022-01-01,Austria,Traditional Leisure,788
2022-02-01,Austria,Traditional Leisure,1054
2022-03-01,Austria,Traditional Leisure,887
2022-04-01,Austria,Traditional Leisure,575
2022-05-01,Austria,Traditional Leisure,189
2022-06-01,Austria,Traditional Leisure,109
2022-07-01,Austria,Traditional Leisure,299
2022-08-01,Austria,Traditional Leisure,206
2022-09-01,Austria,Traditional Leisure,152
2022-10-01,Austria,Traditional Leisure,239
2022-11-01,Austria,Traditional Leisure,424
2022-12-01,Austria,Traditional Leisure,619
2023-01-01,Austria,Traditional Leisure,956
2023-02-01,Austria,Traditional Leisure,934
2023-03-01,Austria,Traditional Leisure,872
2023-04-01,Austria,Traditional Leisure,649
2023-05-01,Austria,Traditional Leisure,440
2023-06-01,Austria,Traditional Leisure,299
2023-07-01,Austria,Traditional Leisure,979
2023-08-01,Austria,Traditional Leisure,866
2023-09-01,Austria,Traditional Leisure,726
2023-10-01,Austria,Traditional Leisure,778
2023-11-01,Austria,Traditional Leisure,1212
2023-12-01,Austria,Traditional Leisure,1883
2024-01-01,Austria,Traditional Leisure,2385
2024-02-01,Austria,Traditional Leisure,2372
2024-03-01,Austria,Traditional Leisure,1674
2024-04-01,Austria,Traditional Leisure,1092
2024-05-01,Austria,Traditional Leisure,544
2024-06-01,Austria,Traditional Leisure,384
2024-07-01,Austria,Traditional Leisure,1722
2024-08-01,Austria,Traditional Leisure,1150
2024-09-01,Austria,Traditional Leisure,757
2024-10-01,Austria,Traditional Leisure,917
2024-11-01,Austria,Traditional Leisure,1705
2024-12-01,Austria,Traditional Leisure,2401
2025-01-01,Austria,Traditional Leisure,2492
2025-02-01,Austria,Traditional Leisure,2640
2025-03-01,Austria,Traditional Leisure,1756
2025-04-01,Austria,Traditional Leisure,1087
2025-05-01,Austria,Traditional Leisure,483
2025-06-01,Austria,Traditional Leisure,487
2025-07-01,Austria,Traditional Leisure,1846
2025-08-01,Austria,Traditional Leisure,1425
2025-09-01,Austria,Traditional Leisure,708
2025-10-01,Austria,Traditional Leisure,878
2025-11-01,Austria,Traditional Leisure,1766
2025-12-01,Austria,Traditional Leisure,2620
2013-01-01,Bangladesh,Resilient Core,700
2013-02-01,Bangladesh,Resilient Core,658
2013-03-01,Bangladesh,Resilient Core,856
2013-04-01,Bangladesh,Resilient Core,734
2013-05-01,Bangladesh,Resilient Core,732
2013-06-01,Bangladesh,Resilient Core,612
2013-07-01,Bangladesh,Resilient Core,692
2013-08-01,Bangladesh,Resilient Core,1155
2013-09-01,Bangladesh,Resilient Core,793
2013-10-01,Bangladesh,Resilient Core,1075
2013-11-01,Bangladesh,Resilient Core,991
2013-12-01,Bangladesh,Resilient Core,1039
2015-01-01,Bangladesh,Resilient Core,903
2015-02-01,Bangladesh,Resilient Core,1207
2015-03-01,Bangladesh,Resilient Core,1246
2015-04-01,Bangladesh,Resilient Core,829
2015-05-01,Bangladesh,Resilient Core,1013
2015-06-01,Bangladesh,Resilient Core,890
2015-07-01,Bangladesh,Resilient Core,1412
2015-08-01,Bangladesh,Resilient Core,970
2015-09-01,Bangladesh,Resilient Core,1305
2015-10-01,Bangladesh,Resilient Core,1240
2015-11-01,Bangladesh,Resilient Core,1075
2015-12-01,Bangladesh,Resilient Core,1268
2016-01-01,Bangladesh,Resilient Core,1130
2016-02-01,Bangladesh,Resilient Core,1081
2016-03-01,Bangladesh,Resilient Core,1060
2016-04-01,Bangladesh,Resilient Core,1258
2016-05-01,Bangladesh,Resilient Core,1265
2016-06-01,Bangladesh,Resilient Core,1022
2016-07-01,Bangladesh,Resilient Core,2175
2016-08-01,Bangladesh,Resilient Core,1110
2016-09-01,Bangladesh,Resilient Core,1742
2016-10-01,Bangladesh,Resilient Core,1665
2016-11-01,Bangladesh,Resilient Core,1959
2016-12-01,Bangladesh,Resilient Core,1631
2017-01-01,Bangladesh,Resilient Core,1282
2017-02-01,Bangladesh,Resilient Core,1331
2017-03-01,Bangladesh,Resilient Core,1732
2017-04-01,Bangladesh,Resilient Core,1429
2017-05-01,Bangladesh,Resilient Core,1104
2017-06-01,Bangladesh,Resilient Core,1106
2017-07-01,Bangladesh,Resilient Core,1272
2017-08-01,Bangladesh,Resilient Core,1360
2017-09-01,Bangladesh,Resilient Core,1344
2017-10-01,Bangladesh,Resilient Core,1096
2017-11-01,Bangladesh,Resilient Core,1112
2017-12-01,Bangladesh,Resilient Core,1342
2018-01-01,Bangladesh,Resilient Core,982
2018-02-01,Bangladesh,Resilient Core,741
2018-03-01,Bangladesh,Resilient Core,996
2018-04-01,Bangladesh,Resilient Core,672
2018-05-01,Bangladesh,Resilient Core,729
2018-06-01,Bangladesh,Resilient Core,1030
2018-07-01,Bangladesh,Resilient Core,857
2018-08-01,Bangladesh,Resilient Core,1060
2018-09-01,Bangladesh,Resilient Core,771
2018-10-01,Bangladesh,Resilient Core,894
2018-11-01,Bangladesh,Resilient Core,736
2018-12-01,Bangladesh,Resilient Core,1019
2019-01-01,Bangladesh,Resilient Core,946
2019-02-01,Bangladesh,Resilient Core,731
2019-03-01,Bangladesh,Resilient Core,848
2019-04-01,Bangladesh,Resilient Core,593
2019-05-01,Bangladesh,Resilient Core,186
2019-06-01,Bangladesh,Resilient Core,509
2019-07-01,Bangladesh,Resilient Core,631
2019-08-01,Bangladesh,Resilient Core,804
2019-09-01,Bangladesh,Resilient Core,693
2019-10-01,Bangladesh,Resilient Core,665
2019-11-01,Bangladesh,Resilient Core,626
2019-12-01,Bangladesh,Resilient Core,1029
2020-01-01,Bangladesh,Resilient Core,1014
2020-02-01,Bangladesh,Resilient Core,760
2020-03-01,Bangladesh,Resilient Core,212
2020-04-01,Bangladesh,Resilient Core,0
2020-05-01,Bangladesh,Resilient Core,0
2020-06-01,Bangladesh,Resilient Core,0
2020-07-01,Bangladesh,Resilient Core,0
2020-08-01,Bangladesh,Resilient Core,0
2020-09-01,Bangladesh,Resilient Core,0
2020-10-01,Bangladesh,Resilient Core,0
2020-11-01,Bangladesh,Resilient Core,0
2020-12-01,Bangladesh,Resilient Core,0
2021-01-01,Bangladesh,Resilient Core,0
2021-02-01,Bangladesh,Resilient Core,6
2021-03-01,Bangladesh,Resilient Core,3
2021-04-01,Bangladesh,Resilient Core,5
2021-05-01,Bangladesh,Resilient Core,6
2021-06-01,Bangladesh,Resilient Core,2
2021-07-01,Bangladesh,Resilient Core,31
2021-08-01,Bangladesh,Resilient Core,19
2021-09-01,Bangladesh,Resilient Core,235
2021-10-01,Bangladesh,Resilient Core,273
2021-11-01,Bangladesh,Resilient Core,372
2021-12-01,Bangladesh,Resilient Core,544
2022-01-01,Bangladesh,Resilient Core,302
2022-02-01,Bangladesh,Resilient Core,259
2022-03-01,Bangladesh,Resilient Core,451
2022-04-01,Bangladesh,Resilient Core,155
2022-05-01,Bangladesh,Resilient Core,249
2022-06-01,Bangladesh,Resilient Core,129
2022-07-01,Bangladesh,Resilient Core,176
2022-08-01,Bangladesh,Resilient Core,168
2022-09-01,Bangladesh,Resilient Core,338
2022-10-01,Bangladesh,Resilient Core,417
2022-11-01,Bangladesh,Resilient Core,511
2022-12-01,Bangladesh,Resilient Core,662
2023-01-01,Bangladesh,Resilient Core,717
2023-02-01,Bangladesh,Resilient Core,531
2023-03-01,Bangladesh,Resilient Core,612
2023-04-01,Bangladesh,Resilient Core,960
2023-05-01,Bangladesh,Resilient Core,1145
2023-06-01,Bangladesh,Resilient Core,1072
2023-07-01,Bangladesh,Resilient Core,1520
2023-08-01,Bangladesh,Resilient Core,1533
2023-09-01,Bangladesh,Resilient Core,1441
2023-10-01,Bangladesh,Resilient Core,2456
2023-11-01,Bangladesh,Resilient Core,2674
2023-12-01,Bangladesh,Resilient Core,3185
2024-01-01,Bangladesh,Resilient Core,2329
2024-02-01,Bangladesh,Resilient Core,2389
2024-03-01,Bangladesh,Resilient Core,1308
2024-04-01,Bangladesh,Resilient Core,2354
2024-05-01,Bangladesh,Resilient Core,2878
2024-06-01,Bangladesh,Resilient Core,4374
2024-07-01,Bangladesh,Resilient Core,4607
2024-08-01,Bangladesh,Resilient Core,3877
2024-09-01,Bangladesh,Resilient Core,4178
2024-10-01,Bangladesh,Resilient Core,3732
2024-11-01,Bangladesh,Resilient Core,3375
2024-12-01,Bangladesh,Resilient Core,4154
2025-01-01,Bangladesh,Resilient Core,4626
2025-02-01,Bangladesh,Resilient Core,5262
2025-03-01,Bangladesh,Resilient Core,4713
2025-04-01,Bangladesh,Resilient Core,5428
2025-05-01,Bangladesh,Resilient Core,7282
2025-06-01,Bangladesh,Resilient Core,5826
2025-07-01,Bangladesh,Resilient Core,3274
2025-08-01,Bangladesh,Resilient Core,4074
2025-09-01,Bangladesh,Resilient Core,4953
2025-10-01,Bangladesh,Resilient Core,5521
2025-11-01,Bangladesh,Resilient Core,4151
2025-12-01,Bangladesh,Resilient Core,4453
2011-01-01,Belgium,Traditional Leisure,1053
2011-02-01,Belgium,Traditional Leisure,800
2011-03-01,Belgium,Traditional Leisure,796
2011-04-01,Belgium,Traditional Leisure,883
2011-05-01,Belgium,Traditional Leisure,201
2011-06-01,Belgium,Traditional Leisure,219
2011-07-01,Belgium,Traditional Leisure,1695
2011-08-01,Belgium,Traditional Leisure,962
2011-09-01,Belgium,Traditional Leisure,591
2011-10-01,Belgium,Traditional Leisure,1106
2011-11-01,Belgium,Traditional Leisure,881
2011-12-01,Belgium,Traditional Leisure,935
2012-01-01,Belgium,Traditional Leisure,1388
2012-02-01,Belgium,Traditional Leisure,1097
2012-03-01,Belgium,Traditional Leisure,1112
2012-04-01,Belgium,Traditional Leisure,995
2012-05-01,Belgium,Traditional Leisure,232
2012-06-01,Belgium,Traditional Leisure,378
2012-07-01,Belgium,Traditional Leisure,1773
2012-08-01,Belgium,Traditional Leisure,978
2012-09-01,Belgium,Traditional Leisure,647
2012-10-01,Belgium,Traditional Leisure,505
2012-11-01,Belgium,Traditional Leisure,1221
2012-12-01,Belgium,Traditional Leisure,997
2013-01-01,Belgium,Traditional Leisure,652
2013-02-01,Belgium,Traditional Leisure,959
2013-03-01,Belgium,Traditional Leisure,917
2013-04-01,Belgium,Traditional Leisure,536
2013-05-01,Belgium,Traditional Leisure,293
2013-06-01,Belgium,Traditional Leisure,494
2013-07-01,Belgium,Traditional Leisure,1682
2013-08-01,Belgium,Traditional Leisure,889
2013-09-01,Belgium,Traditional Leisure,688
2013-10-01,Belgium,Traditional Leisure,502
2013-11-01,Belgium,Traditional Leisure,640
2013-12-01,Belgium,Traditional Leisure,886
2014-01-01,Belgium,Traditional Leisure,723
2014-02-01,Belgium,Traditional Leisure,1027
2014-03-01,Belgium,Traditional Leisure,817
2014-04-01,Belgium,Traditional Leisure,867
2014-05-01,Belgium,Traditional Leisure,286
2014-06-01,Belgium,Traditional Leisure,538
2014-07-01,Belgium,Traditional Leisure,1866
2014-08-01,Belgium,Traditional Leisure,968
2014-09-01,Belgium,Traditional Leisure,684
2014-10-01,Belgium,Traditional Leisure,479
2014-11-01,Belgium,Traditional Leisure,629
2014-12-01,Belgium,Traditional Leisure,1031
2015-01-01,Belgium,Traditional Leisure,895
2015-02-01,Belgium,Traditional Leisure,1287
2015-03-01,Belgium,Traditional Leisure,1135
2015-04-01,Belgium,Traditional Leisure,995
2015-05-01,Belgium,Traditional Leisure,346
2015-06-01,Belgium,Traditional Leisure,635
2015-07-01,Belgium,Traditional Leisure,2380
2015-08-01,Belgium,Traditional Leisure,1588
2015-09-01,Belgium,Traditional Leisure,1100
2015-10-01,Belgium,Traditional Leisure,636
2015-11-01,Belgium,Traditional Leisure,893
2015-12-01,Belgium,Traditional Leisure,1164
2016-01-01,Belgium,Traditional Leisure,1285
2016-02-01,Belgium,Traditional Leisure,1552
2016-03-01,Belgium,Traditional Leisure,1639
2016-04-01,Belgium,Traditional Leisure,675
2016-05-01,Belgium,Traditional Leisure,377
2016-06-01,Belgium,Traditional Leisure,586
2016-07-01,Belgium,Traditional Leisure,2705
2016-08-01,Belgium,Traditional Leisure,1511
2016-09-01,Belgium,Traditional Leisure,1180
2016-10-01,Belgium,Traditional Leisure,688
2016-11-01,Belgium,Traditional Leisure,839
2016-12-01,Belgium,Traditional Leisure,1350
2017-01-01,Belgium,Traditional Leisure,1063
2017-02-01,Belgium,Traditional Leisure,1274
2017-03-01,Belgium,Traditional Leisure,1203
2017-04-01,Belgium,Traditional Leisure,1140
2017-05-01,Belgium,Traditional Leisure,547
2017-06-01,Belgium,Traditional Leisure,573
2017-07-01,Belgium,Traditional Leisure,3275
2017-08-01,Belgium,Traditional Leisure,1354
2017-09-01,Belgium,Traditional Leisure,1119
2017-10-01,Belgium,Traditional Leisure,747
2017-11-01,Belgium,Traditional Leisure,804
2017-12-01,Belgium,Traditional Leisure,1517
2018-01-01,Belgium,Traditional Leisure,1275
2018-02-01,Belgium,Traditional Leisure,1449
2018-03-01,Belgium,Traditional Leisure,1666
2018-04-01,Belgium,Traditional Leisure,1211
2018-05-01,Belgium,Traditional Leisure,494
2018-06-01,Belgium,Traditional Leisure,785
2018-07-01,Belgium,Traditional Leisure,3681
2018-08-01,Belgium,Traditional Leisure,1994
2018-09-01,Belgium,Traditional Leisure,1384
2018-10-01,Belgium,Traditional Leisure,816
2018-11-01,Belgium,Traditional Leisure,1045
2018-12-01,Belgium,Traditional Leisure,1719
2019-01-01,Belgium,Traditional Leisure,1278
2019-02-01,Belgium,Traditional Leisure,1681
2019-03-01,Belgium,Traditional Leisure,1646
2019-04-01,Belgium,Traditional Leisure,1626
2019-05-01,Belgium,Traditional Leisure,153
2019-06-01,Belgium,Traditional Leisure,561
2019-07-01,Belgium,Traditional Leisure,2603
2019-08-01,Belgium,Traditional Leisure,1508
