Country,Strategic_Tactic,Total_Volume,Total Bed Nights,Avg_Growth,Avg_Duration,Leisure_Ratio,Business_Ratio,Young_Ratio,Silver_Ratio
Australia,Traditional Leisure,950591,11158354.021666668,0.0972270721569051,11.738333333333335,0.9315884048115987,0.03901219587923066,0.1501527174584961,0.2069627378754483
Austria,Traditional Leisure,178192,2469741.12,0.13586164663268158,13.86,0.9001391757618441,0.038579288269983476,0.16727188214360447,0.17812789498792617
Bangladesh,Resilient Core,199014,1139156.136,0.1989147382553812,5.724,0.8492041064515157,0.12106708266450299,0.16907670411826106,0.08680097912744139
Belgium,Traditional Leisure,174782,2118940.446666667,0.08250353698103971,12.123333333333333,0.9359810511576159,0.04620870281483968,0.1963206763410189,0.14139775781704678
Canada,Traditional Leisure,525017,7145918.884166667,0.05960976247259644,13.610833333333334,0.941703395045247,0.03103357275676584,0.1313898560986193,0.20056590060026702
China,Emerging Markets,1830748,14894660.603333332,0.2464973821220171,8.135833333333332,0.9020562826469672,0.08787654339651006,0.1985387900781198,0.10943462785540302
Czech Republic,Emerging Markets,161763,1621906.915681818,0.15090096888472931,10.026439393939393,0.96121793366002,0.020459280376003437,0.19743582658741435,0.11755648967942317
Denmark,Traditional Leisure,180189,2525649.1500000004,0.11293628920366756,14.016666666666667,0.9193615677188035,0.040666323881997306,0.19288314789608,0.18985867596433592
Finland,Emerging Markets,40394,512330.5666666666,0.218601634159314,12.683333333333332,0.9162965521377491,0.05162134894902688,0.1762250366552985,0.17873253871604552
France,Traditional Leisure,1043685,12489430.5,0.08830351631044563,11.966666666666667,0.9464343705407036,0.04513688163262492,0.1584148440550389,0.172252289570306
Germany,Traditional Leisure,1475668,20050638.95,0.10838586959453093,13.5875,0.9151105266604609,0.04554583209455637,0.1846828687223955,0.1546428329386299
India,Resilient Core,4156694,26384615.165,0.10547704532106868,6.3475,0.8489573156794282,0.11272080178025,0.15210571099717057,0.09915849800144165
Indonesia,Resilient Core,141491,856963.8233333335,0.140933517773077,6.0566666666666675,0.749085088153609,0.15709329023784505,0.1887377519175102,0.08283657703076473
Israel,Emerging Markets,149968,1285600.68,0.15280387379099913,8.5725,0.9055927106316037,0.06134903602108306,0.29416758157898293,0.13213000124258042
Italy,Traditional Leisure,357276,4118796.8200000003,0.1430995059627655,11.528333333333334,0.9265714010833433,0.04623006345202935,0.14698800448095806,0.15630797848377528
Japan,Resilient Core,422585,3084870.5,0.07740395506885427,7.3,0.8665930397785148,0.10767443392366267,0.14066805980272445,0.2066533322266257
Kuwait,Seasonal Youth,38388,329081.13,-0.14811093278390727,8.5725,0.8533673195493787,0.03735885997877954,0.18468611313150562,0.09694008497336024
Malaysia,Resilient Core,253290,1740524.45,0.049941271075458385,6.871666666666666,0.8545939213430899,0.113161265500607,0.1415499323345393,0.17483686006826513
Maldives,Resilient Core,815238,6612938.91,0.04067267512943949,8.111666666666666,0.6320390986385513,0.0704356693701366,0.19166777725878462,0.10259202618676257
Netherlands,Traditional Leisure,485017,6413137.282500001,0.115791684193678,13.222500000000002,0.9475739490913632,0.04269624605700576,0.19126250034786302,0.18558108959765826
New Zealand,Traditional Leisure,114500,1401861.6666666667,0.12841178828059155,12.243333333333334,0.9157144237364409,0.04627631115258261,0.15993534528878192,0.19286074854703647
Norway,Traditional Leisure,143430,1773990.0499999998,0.1160910309305466,12.368333333333332,0.9021452494643049,0.04969783145971204,0.20334558650667733,0.14908766429521247
Oman,Seasonal Youth,64029,548888.6025,-0.04432011865785717,8.5725,0.8722594907807558,0.03301748202009486,0.24801791075469878,0.07577468957320738
Pakistan,Resilient Core,272727,1780452.765,0.02843828751178833,6.528333333333333,0.8276386004827181,0.12039950079165472,0.1845126314483344,0.08876050840497021
