Date,Strategic_Tactic,Forecasted_Arrivals,Lower_Bound,Upper_Bound
2026-04-01,Emerging Markets,46565.34099377089,21896.243594386666,71234.43839315511
2026-05-01,Emerging Markets,33860.535029294566,8100.75439140866,59620.315667180475
2026-06-01,Emerging Markets,34603.078463593156,8148.241825973826,61057.915101212486
2026-07-01,Emerging Markets,43948.46919324141,16910.021000657925,70986.9173858249
2026-08-01,Emerging Markets,45934.30939961875,18300.397429979013,73568.22136925849
2026-09-01,Emerging Markets,40944.722399476326,12663.971953314649,69225.472845638
2026-10-01,Emerging Markets,45949.062057407355,16976.913641782794,74921.21047303191
2026-11-01,Emerging Markets,60223.61038055689,30540.56094306277,89906.65981805102
2026-12-01,Emerging Markets,69609.23128983047,39219.176731098516,99999.28584856242
2027-01-01,Emerging Markets,76282.09209767151,44042.139617864,108522.04457747903
2027-02-01,Emerging Markets,74568.43944580511,40223.47723730256,108913.40165430766
2027-03-01,Emerging Markets,66826.53051877602,30699.996919738747,102953.06411781331
2027-04-01,Emerging Markets,51350.30601134643,13843.168606649357,88857.4434160435
2027-05-01,Emerging Markets,40428.46177753478,1819.8135214590438,79037.11003361052
2027-06-01,Emerging Markets,41248.08930403738,1683.8797615038784,80812.29884657088
2027-07-01,Emerging Markets,49001.95923632925,8538.153758805653,89465.76471385284
2027-08-01,Emerging Markets,50493.76602255543,9140.215578342279,91847.31646676858
2027-09-01,Emerging Markets,46390.001523867264,4141.781236154253,88638.22181158027
2027-10-01,Emerging Markets,50226.68642363597,7081.401971823638,93371.9708754483
2027-11-01,Emerging Markets,62576.32576787352,18539.987439780198,106612.66409596684
2027-12-01,Emerging Markets,71167.74472898676,26253.845338335115,116081.6441196384
2026-01-01,Resilient Core,68652.07725604273,56011.88480632026,81292.2697057652
2026-02-01,Resilient Core,66100.67655281402,53460.484103091556,78740.86900253649
2026-03-01,Resilient Core,70114.31139705435,57474.11894733188,82754.50384677682
2026-04-01,Resilient Core,65057.35289886731,52417.16044914484,77697.54534858979
2026-05-01,Resilient Core,69572.55064256945,56932.35819284698,82212.74309229192
2026-06-01,Resilient Core,67612.19094069157,54971.9984909691,80252.38339041403
2026-07-01,Resilient Core,67686.03499925876,55045.84254953629,80326.22744898123
2026-08-01,Resilient Core,69989.35782054934,57349.16537082687,82629.55027027181
2026-09-01,Resilient Core,68823.85376893995,56183.661319217485,81464.04621866242
2026-10-01,Resilient Core,71433.70117579249,58793.508726070024,84073.89362551496
2026-11-01,Resilient Core,73908.8594669737,61268.66701725124,86549.05191669617
2026-12-01,Resilient Core,88002.5444679103,75362.35201818783,100642.73691763276
2027-01-01,Resilient Core,75023.62166271995,62383.42921299748,87663.81411244241
2027-02-01,Resilient Core,72472.22095949124,59832.028509768774,85112.41340921371
2027-03-01,Resilient Core,76485.85580373157,63845.6633540091,89126.04825345404
2027-04-01,Resilient Core,71428.89730554452,58788.704855822056,84069.08975526699
2027-05-01,Resilient Core,75944.09504924665,63303.90259952418,88584.28749896912
2027-06-01,Resilient Core,73983.73534736877,61343.5428976463,86623.92779709124
2027-07-01,Resilient Core,74057.57940593598,61417.38695621351,86697.77185565844
2027-08-01,Resilient Core,76360.90222722656,63720.70977750409,89001.09467694903
2027-09-01,Resilient Core,75195.39817561717,62555.2057258947,87835.59062533964
2027-10-01,Resilient Core,77805.24558246971,65165.05313274724,90445.43803219218
2027-11-01,Resilient Core,80280.40387365091,67640.21142392844,92920.59632337338
2027-12-01,Resilient Core,94374.0888745875,81733.89642486503,107014.28132430997
2026-01-01,Seasonal Youth,4539.568021296765,0.0,9251.061849618294
2026-02-01,Seasonal Youth,3807.6144972178145,0.0,9010.317623984742
2026-03-01,Seasonal Youth,5572.677590005378,0.0,11261.60691423365
2026-04-01,Seasonal Youth,3359.6893955005025,0.0,9057.957222182671
2026-05-01,Seasonal Youth,3045.629967212989,0.0,8838.000330375176
2026-06-01,Seasonal Youth,3767.193725097901,0.0,9612.102949625407
2026-07-01,Seasonal Youth,4268.809721337679,0.0,10178.870821616354
2026-08-01,Seasonal Youth,4077.3839050930246,0.0,10047.045787622112
2026-09-01,Seasonal Youth,3617.436633010931,0.0,9647.820974246453
2026-10-01,Seasonal Youth,3609.9803202391254,0.0,9699.866844738908
2026-11-01,Seasonal Youth,4402.997179675509,0.0,10552.029829930363
2026-12-01,Seasonal Youth,4161.534745605104,0.0,10369.071307256567
