Strategic_Tactic,Total_Volume,Total_Bed_Nights,Avg_Growth,Avg_Duration,Leisure_Ratio
Emerging Markets,4927583,46915413.8330303,0.1929584594345424,9.976246556473829,0.8996990586175152
Resilient Core,7153155,48102236.903,0.08222744876042858,7.29248046875,0.7920188549574296
Seasonal Youth,1119606,9960271.314545454,-0.055697538073854615,8.767386363636364,0.8626544573294965
Traditional Leisure,9002887,111580092.98916666,0.10307696847207541,12.594944444444446,0.9206730222291627
